A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000043355	0	0	0.0080686	0.00385672	0	0	0	0	0	0	0	0	0	0	0.000549764	0.00332103	0.00757234	0	0	0	0	0
ENSG00000043462	16.8222	2.19606	3.96706	4.5074	2.09271	4.45538	2.78941	9.11257	11.0653	24.6076	17.4117	0.040513	12.5998	15.0527	8.05586	16.6297	11.4262	17.6928	19.2818	8.12796	5.21484	14.3671
ENSG00000043514	5.09823	6.00284	6.42236	6.1715	6.55819	6.51607	7.70369	3.39196	4.36642	6.05464	5.06569	3.82722	4.46986	6.27456	7.88139	7.22814	5.21801	4.34841	5.81616	4.74025	1.67956	5.82472
ENSG00000043591	0	0.321511	0.00936104	0.008949	0.00976467	0.188439	0.0257746	0	0	0.143313	0	0.0162076	0.00647496	0	0.0410427	0	0.00128851	0	0.302373	0.0734508	0.244769	0
ENSG00000044012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000044090	11.6472	13.674	13.1892	13.6442	12.6573	12.34	14.2244	5.6486	8.19008	10.8157	10.1948	8.54491	6.27084	12.0914	10.2751	11.587	9.36799	12.605	5.9488	12.0108	5.05118	17.389
ENSG00000044115	14.9652	7.03412	7.16955	6.6653	5.38463	6.12813	5.62289	16.0474	15.5595	13.7821	13.2025	29.0487	18.7366	12.3925	12.7522	13.2848	14.3412	12.0692	12.7329	17.1107	11.0509	13.2995
ENSG00000044446	12.7083	9.333	10.0927	9.74292	10.3965	10.5283	11.7539	10.3316	9.3158	9.76716	13.2416	6.60879	9.54835	9.11007	10.483	13.1117	6.78219	10.7036	6.87517	10.5239	6.24255	15.1878
ENSG00000044459	0	1.76395	1.5579	1.61024	1.80049	1.75022	1.46417	0.00173748	0.0131952	0.0421851	0	2.43515	0.036383	0	0.0444217	0.000496773	0.155679	0	0.00490103	0	0.912786	0.00142482
ENSG00000044524	0	0.0137833	0	0.00573827	0.0020871	0.0140899	0.0292972	0	0.00273434	0	0	0	0	0	0	0	0.00375553	0	0	0	0	0.00236203
ENSG00000044574	44.7601	250.446	280.5	211.489	207.952	198.45	208.497	93.2633	131.346	85.2714	76.4098	136.111	110.116	102.637	57.8753	40.7516	78.1083	67.9377	85.3834	125.114	183.168	62.299
ENSG00000046604	0	0.152955	0.224917	0.117373	0.175418	0.158267	0.368451	0.0171035	0.047072	0.0069007	0.0540731	0.0075203	0.0138807	0	0.00191724	0	0	0.0115682	0	0	0	0.0152803
